id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	http://cinemacontext.nl/id/sameAs
cc641c64235e54f	Sitalsing	Sinds 1911 vertoonde Sital Sing films, vanaf 1924 met 'dynamo' van Thalia in kino Sital Sing aan de Voorstraat. Openingsfilm in 1924: Tarzan. Vanaf 1934 overgenomen en voortgezet onder de naam Theater Nickerie	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1924-10-01	1934-12-31	Nieuw Nickerie			Voorstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001740
cc641c64b99c2b9	Theater Nickerie	Voorheen Sital Sing en op zeker moment gewijzigd in Volkstheater en exploitatie overgenomen door Bellevue, Paramaribo. Niet te verwarren met het latere Volkstheater op de Achterstraat...	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1934-01-01		Nieuw Nickerie			Voorstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001769
cc641c66c22610c	Gaiety Theater	Bij de opening in 1929 bleef men dansen tot 3 uur in de nacht. Eerste geluidsfilm op 1 september 1935. Eind 1935 is de exploitatie in handen gekomen van de directie van Bellevue, Paramaribo. In de jaren '40 is het theater actief, want wordt genoemd in De Nickeriaan. Met de opening van concurrent Juliana krijgt het theater een opknapbeurt en heropent het in de loop van 1950 als Het Volkstheater	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1929-08-01	1950-12-31	Nieuw Nickerie			Achterstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001708
cc641c6daab6217	Juliana		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1949-11-05		Nieuw Nickerie			Gouverneurstraat	5.9442141800113	-56.9896963407799	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001765
cc641c71013ed31	Volkstheater	Gaiety theater heropende na verbouwing als Volkstheater in 1950. Afgebrand in mei 1961 en heropend in nieuw gebouw in augustus 1962.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1950-07-01		Nieuw Nickerie			Achterstraat			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001780
cc641c733a221e8	Roshnie	Afrikaanse dansen bij opening verrassen het Hindoestaanse publiek, aldus verslag opening in De Nickeriaan	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1962-09-01		Nieuw Nickerie			Oranje Nassaustraat	5.94618682867811	-56.9947922272406	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001747
cc641c77b381ae0	Bernhard theater		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1952-10-01		Corantijnpolder						Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001712
cc641c7b5894673	Perkash		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1951-01-01		Boonackerpolder						Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001734
cc641c7d05d6964	Masanga		https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue			Wageningen						Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	
cc6437e66b27366	Diamond	Inmiddels een wijk in Paramaribo-Zuid maar in de jaren '70 nog een aparte plaats 'Bethesda'. Bood plaats aan 'enkele honderden' toeschouwers.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1969-09-08		Bethesda			Grensweg	5.79581609522816	-55.1722170952166	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001725
cc6437eeb807de5	Milan	Opvolger van Chung Fa.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue			Groningen (Saramacca)			onbekend			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001713
cc6437f3b167f3e	Kino Leter	Exacte openingsdatum is niet bekend, alleen vergunningsaanvraag in januari 1950	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1950-01-01		Lelydorp			Verlengde Pad van Wanica			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001756
cc6437f8c7b64ff	Munnikon theater	Dit betreft het oude houten Bellevue theater uit Paramaribo dat opnieuw is opgebouwd in Moengo. Precieze locatie is niet bekend. Bij de opening was Dhr. De Munninck aanwezig, directeur van de Surinaamse Bauxiet Maatschappij; kennelijk is het theater naar hem vernoemd. In de volksmond werd het al snel verbasterd tot 'Money Come' theater... Namen die vermoedelijk betrokken waren bij de exploitatie: Jie Sam Foek en Burside.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1929-08-08		Moengo			Onbekend			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001755
cc6437fecead38b	[Amerikaanse bioscoop]	Kennelijk runde het Amerikaanse leger een bioscoop op Zanderij.	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1942-11-01		Zanderij			Onbekend			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001728
cc6438203880fce	Metro		https://homernetwork.github.io/vocabulary/venues/Multiplex;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Multiplex;Cinema;Public venue	1974-01-18		Paramaribo			Ergens in Uitvlucht			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001711
cc643eaf355086e	Taj Mahal		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue;https://homernetwork.github.io/vocabulary/venues/Public_venue	Ontspanningszaal;Public venue	1969-04-23		Kwatta			Middenpad	5.84385422943097	-55.2159687830775	Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001716
cc643eb693dc612	Shanti	Vroegste vermelding gevonden in augustus 1969, maar niet bekend wanneer geopend (of gesloten)	https://homernetwork.github.io/vocabulary/venues/Single_screen_cinema;https://homernetwork.github.io/vocabulary/venues/Cinema;https://homernetwork.github.io/vocabulary/venues/Public_venue	Single screen cinema;Cinema;Public venue	1960-01-01		Wanica			Leiding 10A			Van Oort, T. (2025). Asian Film Exhibition in Suriname (1930s—1970s). In Panel 24: Beyond Hollywood: Resistant Experiences of Cinema-going in the Caribbean [Conference session]. HoMER 2025 Conference: Cinema and Conflict, Galatasaray University, Istanbul, Turkey.	http://cinemacontext.nl/id/B001758
