"id"	"name"	"startDate"	"endDate"	"addressLocality"	"VenueType"	"sameAs"	"citation"	"ProjectWebsite"	"longitude"	"latitude"
45	"Geisha Theatre"	1915	1914	"257 Bridge Street"	"Venue, Cinema, Department store cinema"	"https://digitalarchives.sec.state.ma.us/uncategorised/IO_486ff5e6-db16-434e-a419-dbf59ffad48a/"		"https://www.mappingmovies.com/"	-72.5913563755	42.103635724
46	"Lion Theatre"	1916	1914	"163 Main Street"	"Venue, Nickelodeon, Picture house"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.5969379793	42.1060957464
47	"Reel Theatre"	1916	1914	"477 Main Street"	"Venue, Nickelodeon, Picture house"	"https://archive.org/details/motionpicturenew82unse/page/n85/mode/2up?view=theater"		"https://www.mappingmovies.com/"	-72.5874618791	42.1013466208
48	"Strand Theatre"	1953	1916	"24 Eastern Avenue"	"Venue, Cinema, Neighborhood cinema"	"https://cinematreasures.org/theaters/7792"	"https://link.gale.com/apps/doc/A133911455/LitRC?u=durh54357&sid=summon&xid=ec87c930"	"https://www.mappingmovies.com/"	-72.5642250563	42.1103419707
49	"Phillips Theatre"	1963	1915	"499 Sumner Avenue"	"Venue, Cinema,  Neighborhood cinema"	"https://cinematreasures.org/theaters/3722"	"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.5580737449	42.0859911151
50	"Cinema-X"	1987	1963	"499 Sumner Avenue"	"Venue, Cinema,  Neighborhood cinema, Adult cinema, Art house cinema"	"https://cinematreasures.org/theaters/3722"		"https://www.mappingmovies.com/"	-72.5580737449	42.0859911151
51	"Ten Eyck's Theatre"	1918	1917	"387 Main Street"	"Venue, Nickelodeon, Picture house"			"https://www.mappingmovies.com/"	-72.5898099277	42.102484144
52	"Cleveland Theatre"	1927	1921	"41 Cleveland Street"	"Venue, Cinema, Neighborhood cinema"	"https://cinematreasures.org/theaters/9786"	"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.5863408134	42.1218426474
53	"Jefferson Theatre"	1962	1921	"179 North Main Street"	"Venue, Cinema, Neighborhood cinema"	"https://cinematreasures.org/theaters/3725"	"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.6057163723	42.114621454
54	"Pine Point Theatre"	1933	1927	"11 Boyer Street"	"Venue, Cinema, Neighborhood cinema"		"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.5349504286	42.1252226238
55	"Liberty Theatre"	1954	1928	"739 Liberty Street"	"Venue, Cinema, Neighborhood cinema"	"https://cinematreasures.org/theaters/3726"	"https://scholar.google.com/citations?view_op=view_citation&hl=en&user=utSpkqcAAAAJ&citation_for_view=utSpkqcAAAAJ:qjMakFHDy7sC"	"https://www.mappingmovies.com/"	-72.584115261	42.1231598555
56	"Franklin Theatre"	1940	1929	"341 Chestnut Street"	"Venue, Cinema, Neighborhood cinema"	"https://cinematreasures.org/theaters/70622"	"https://doi.org/10.2307/jj.28297686.13"	"https://www.mappingmovies.com/"	-72.5946399489	42.1108488494
57	"Paramount Theatre"	1939	1929	"1704 Main Street"	"Venue, Cinema, Picture Palace"	"https://afterthefinalcurtain.net/2017/10/27/paramount-theatre-springfield-ma/"	"https://doi.org/10.2307/j.ctv36xw32v.18"	"https://www.mappingmovies.com/"	-72.5948816935	42.1044642874
58	"Rialto Theatre"	1932	1930	"892 Carew Street"	"Venue, Cinema, Neighborhood cinema"			"https://www.mappingmovies.com/"	-72.5816849068	42.1278152296
59	"Arcade Theatre"	1971	1931	"171 State Street"	"Venue, Cinema"	"https://cinematreasures.org/theaters/3718"	"https://www.tandfonline.com/doi/abs/10.1080/10714429809368568"	"https://www.mappingmovies.com/"	-72.5854210322	42.1021540714
60	"Parlor Theatre"	1897	1894	"99 Bridge Street"	"Venue, Theatre, Mixed programming vaudeville, burlesque, and film"			"https://www.mappingmovies.com/"	-72.5932999901	42.1019834144
61	"Bijou Theatre"	1909	1907	"280 Main Street"	"Venue, Theatre, Mixed programming vaudeville and film"			"https://www.mappingmovies.com/"	-72.5937669117	42.1039076087
