id	name	description	additionalTypeId	additionalTypeName	startDate	endDate	addressLocality	addressRegion	postalCode	streetAddress	latitude	longitude	citation	sameAs
275	New Cinema				1913		Dungannon	Tyrone						
276	City YMCA		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1899		Belfast	Antrim		Wellington Place	54.596914	-5.932837		
277	Garage Cinema				1922		Castlecomer	Kilkenny			52.803911	-7.210443		
278					1899		Athy	Kildare						
279	Abbey Kinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1922	1930	Limerick	Limerick		George's Quay	52.667046	-8.622334		
280	Rinn	Regal	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1925	1934	Dublin	Dublin		23 Fitzwilliam Street, Ringsend	53.342305	-6.227116		
281	Inchicore Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1921		Dublin	Dublin		29-35 Tyrconnell Road, Inchicore	53.338708	-6.321706		
282	Rossleigh Picture House		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Carrickfergus	Antrim		Irish Quarter South				
283	Arcadia Picture Palace		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1923		Ballina	Mayo		Arran Street	54.113642	-9.155659		
284	Cinema, Listowel		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1899		Listowel	Kerry		Church Street	52.447028	-9.483247		
285	Charles & Mann Cinema		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1918		Listowel	Kerry		Upper Church Street	52.447703	-9.481554		
286	Market Cinema Hall		https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1920		Listowel	Kerry		Market Street				
287	Classic Cinema	Gaumont	https://homernetwork.github.io/vocabulary/venues/Cinema	Cinema	1923		Belfast	Antrim		Castle Lane	54.598684	-5.929044		
288	New Theatre and Picture House		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1924		Thurles	Tipperary		Slievenamon Road	52.676975	-7.812336		
289	Star Electric Pictures	Young Men's Society Hall	https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1915		Birr	Offaly						
290	Cinema Hall		https://homernetwork.github.io/vocabulary/venues/Multipurpose_venue	Multipurpose venue	1923		Killaloe	Clare						
