"id"	"name"	"description"	"additionalTypeId"	"additionalTypeName"	"startDate"	"endDate"	"addressLocality"	"addressRegion"	"postalCode"	"streetAddress"	"latitude"	"longitude"	"citation"	"sameAs"
"http://www.cinemacontext.nl/id/B001236"	"Tilburgsche Bioscope in café De Lindeboom"	"Dit zou de eerste Brabantse bioscoop zijn geweest, volgens Joost Magnus (1996). Al tijdens de kermis in oktober 1908 werden er incidentele filmvoorstellingen gegeven in de zaal van café De Lindeboom. Kastelein Devenijns begon hier vanaf 1 sept. 1909 op vaste basis films te vertonen."			1909-09-01	1911-03-31	"Tilburg"			"Heuvel  78"	51.5574	5.09105		"http://www.cinemacontext.nl/id/B001236"
"http://www.cinemacontext.nl/id/B000811"	"Kinematophoon, Nijmeegsch Bioscooptheater"				1909-09-25	1909-11-30	"Nijmegen"			"Grootestraat 26"	51.848	5.86515		"http://www.cinemacontext.nl/id/B000811"
"http://www.cinemacontext.nl/id/B001568"	"Strengholt's Bioscope"	"in gebouw Kunstmin, niet in de zomermaanden"			1909-10-24	1910-11-21	"Dordrecht"			"St. Jorisweg 76"	51.8136	4.67618		"http://www.cinemacontext.nl/id/B001568"
"http://www.cinemacontext.nl/id/B000806"	"Nieuw Nijmeegsch Bioscooptheater"				1909-11-26	1911-12-31	"Nijmegen"			"Grootestraat 8"	51.8476	5.86499		"http://www.cinemacontext.nl/id/B000806"
"http://www.cinemacontext.nl/id/B000075"	"Café-Bioscoop Blaauw"	"De  bezoekers zaten op klapstoelen aan lange tafels in de lengte van de zaal."			1909-12-01	1915-02-20	"Amsterdam"			"Rembrandtplein 8"	52.366	4.8956		"http://www.cinemacontext.nl/id/B000075"
"http://www.cinemacontext.nl/id/B001057"	"Flora"	"Op 31 januari 1929 werd in Flora de eerste openbare voorstelling van een geluidsfilm met de Loetafoon gegeven: synchroongeluid volgens het platensysteem. Dit toestel werd gepromoot en verkocht door een broer van de exploitant, Loet Barnstijn."			1909-12-23	1949-12-31	"Utrecht"			"Oudegracht 156"	52.0918	5.11829		"http://www.cinemacontext.nl/id/B001057"
"http://www.cinemacontext.nl/id/B001057"	"Flora"	"Op 31 januari 1929 werd in Flora de eerste openbare voorstelling van een geluidsfilm met de Loetafoon gegeven: synchroongeluid volgens het platensysteem. Dit toestel werd gepromoot en verkocht door een broer van de exploitant, Loet Barnstijn."			1909-12-23	1949-12-31	"Utrecht"			"Oudegracht Weerdzijde 9"	52.0918	5.11829		"http://www.cinemacontext.nl/id/B001057"
"http://www.cinemacontext.nl/id/B000932"	"Olympia"				1910-01-01	1940-05-14	"Rotterdam"			"Binnenweg 46"	51.9163	4.47004		"http://www.cinemacontext.nl/id/B000932"
"http://www.cinemacontext.nl/id/B000172"	"Tivoli"				1910-01-01	1916-12-31	"Den Haag"			"Westerbaenstraat 154"	52.0799	4.29872		"http://www.cinemacontext.nl/id/B000172"
"http://www.cinemacontext.nl/id/B000760"	"Schuttershof"				1910-01-01	1911-12-31	"Middelburg"			"Schuttershofstraat 1"	51.4986	3.60828		"http://www.cinemacontext.nl/id/B000760"
