"id"	"name"	"streetAddress"	"address.city.country"	"address.city.color"	"addressLocality"	"addressRegion"	"address.city.name"	"address.city.language"	"address.city.id"	"address.street"	"address.id"	"address.position"	"latitude"	"longitude"	"address.geoData"	"openingDate"	"closingDate"	"geoData"	"status"	"seatingRange"	"venueRank"	"venueLocation"	"venueType.0"	"activeCinemaWeight"	"activeCinemaWeightBand"	"revenuePotential"	"turnover"	"priceProxy"	"activeDays"	"top20PerYear"	"topProductionCounty"	"topProductionYear"	"hasVenueImages"
"c2eddcbc-20cd-11e9-8054-dc241e2d861b"	"Svea-biografen"	"Hvitfeldtsplatsen 1B  "	"Sweden"	"#b28ed8"	"Göteborg"	"Göteborg"	"gothenburg"	"swedish"	4	"Hvitfeldtsplatsen 1B  "	"6dd8a622-20c7-11e9-8054-dc241e2d861b"		57.702227	11.961362	"57.702227, 11.961362"	1909	1953	"57.702227, 11.961362"	"Commercial"	"Under 300"	"Minor"	"Centre"	"Cinema"	0.0222616282	"Up To 0.10"	112.5	5	0.75	57		"USA"	1948	
"c2ec2d4a-20cd-11e9-8054-dc241e2d861b"	"KFUM"	"Parkgatan 11"	"Sweden"	"#b28ed8"	"Göteborg"	"Göteborg"	"gothenburg"	"swedish"	4	"Parkgatan 11"	"6dd7cb26-20c7-11e9-8054-dc241e2d861b"		57.700008	11.967043	"57.700008, 11.967043"			"57.700008, 11.967043"	"Non-Commercial"	"601 – 900"	"Inactive"	"Centre"	"Cinema"	0.0964670557	"Up To 0.10"	487.5		0.75					
"c2ec32fe-20cd-11e9-8054-dc241e2d861b"	"Konserthuset"	"Götaplatsen 41256"	"Sweden"	"#b28ed8"	"Göteborg"	"Göteborg"	"gothenburg"	"swedish"	4	"Götaplatsen 41256"	"6dd7cdf6-20c7-11e9-8054-dc241e2d861b"		57.697082	11.97947	"57.697082, 11.979470"	1935	"Active"	"57.697082, 11.979470"	"Non-Commercial"	"301 – 600"	"Inactive"	"District"	"Cinema"	0.0578802334	"Up To 0.10"	292.5	2	0.75	10		"Norway"	1952	
"c2ef552e-20cd-11e9-8054-dc241e2d861b"	"Kammerlichtspiele"	"Richard Dembny Str. 19"	"Germany"	"#fce267"	"Magdeburg"	"Ottersleben"	"magdeburg"	"german"	6	"Richard Dembny Str. 19"	"6dd92930-20c7-11e9-8054-dc241e2d861b"		52.090393	11.580079	"52.090393, 11.580079"	1926	"1959+"	"52.090393, 11.580079"	"State controlled"	"301 – 600"	"Minor"	"Suburb"	"Cinema"	0.1990684267	"0.10 – 0.20"	503	5	1	116	18	"Czechoslovakia"	1952	1
"c2efcb26-20cd-11e9-8054-dc241e2d861b"	"Theater des Nordens"	"Am Schöppensteg 94"	"Germany"	"#fce267"	"Magdeburg"	"Magdeburg"	"magdeburg"	"german"	6	"Am Schöppensteg 94"	"6dd9a874-20c7-11e9-8054-dc241e2d861b"		52.165222	11.649646	"52.165222, 11.649646"	1954	"1959+"	"52.165222, 11.649646"	"State controlled"	"601 – 900"	"Inactive"	"District"	"Cinema"	0.1187286839	"0.10 – 0.20"	600		0.75					
"c2efe7be-20cd-11e9-8054-dc241e2d861b"	"Centraal"	"Binnenweg 59"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Binnenweg 59"	"6dd9b72e-20c7-11e9-8054-dc241e2d861b"		51.917788	4.476196	"51.917788, 4.476196"	1953	1989	"51.917788, 4.476196"	"Commercial"	"601 – 900"	"Minor"	"Centre"	"Cinema"	0.1264460483	"0.10 – 0.20"	639	7	0.75	23		"USA"	1952	1
"c2f008a2-20cd-11e9-8054-dc241e2d861b"	"Courzand"	"Courzandseweg 40"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Courzandseweg 40"	"6dd9c16a-20c7-11e9-8054-dc241e2d861b"		51.89334	4.420667	"51.893340, 4.420667"	1942	1958	"51.893340, 4.420667"	"Commercial"	"301 – 600"	"Inactive"	"District"	"Cinema"	0.0887496912	"Up To 0.10"	448.5		0.75					1
"c2f01aea-20cd-11e9-8054-dc241e2d861b"	"Lumière"	"Lijnbaan 45"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Lijnbaan 45"	"6dd9cd36-20c7-11e9-8054-dc241e2d861b"		51.922691	4.475815	"51.922691, 4.475815"	1955	2003	"51.922691, 4.475815"	"Commercial"	"601 – 900"	"Inactive"	"Centre"	"Cinema"	0.1127922497	"0.10 – 0.20"	570		0.75					1
"c2f02058-20cd-11e9-8054-dc241e2d861b"	"Lutusca"	"Kruisplein 1"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Kruisplein 1"	"6dd9cfde-20c7-11e9-8054-dc241e2d861b"		51.922426	4.470718	"51.922426, 4.470718"	1946	1959	"51.922426, 4.470718"	"Commercial"	"901 – 1500"	"Major"	"Centre"	"Cinema"	2.4933023617	"2.00 – 5.00"	3150	8	3	354	5	"USA"	1950	1
"c2f05ca8-20cd-11e9-8054-dc241e2d861b"	"Metro"	"Wolphaertsbocht 196"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Wolphaertsbocht 196"	"6dd9d54c-20c7-11e9-8054-dc241e2d861b"		51.890897	4.475265	"51.890897, 4.475265"	1955	1985	"51.890897, 4.475265"	"Commercial"	"601 – 900"	"Inactive"	"District"	"Cinema"	0.1221421336	"0.10 – 0.20"	617.25		0.75					1
"c2f062c0-20cd-11e9-8054-dc241e2d861b"	"Prinses Theater"	"Schiedamseweg 19"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Schiedamseweg 19"	"6dd9d7cc-20c7-11e9-8054-dc241e2d861b"		51.909974	4.447502	"51.909974, 4.447502"	1917	1973	"51.909974, 4.447502"	"Commercial"	"601 – 900"	"Major"	"Centre"	"Cinema"	0.8311007872	"0.75 – 1.00"	1050	7	1.5	354	4	"USA"	1950	1
"c2f080de-20cd-11e9-8054-dc241e2d861b"	"Victoria"	"Bergweg 108"	"Netherlands"	"#e791ce"	"Rotterdam"	"Rotterdam"	"rotterdam"	"dutch"	7	"Bergweg 108"	"6dd9e2d0-20c7-11e9-8054-dc241e2d861b"		51.937837	4.479514	"51.937837, 4.479514"	1935	1971	"51.937837, 4.479514"	"Commercial"	"601 – 900"	"Major"	"District"	"Cinema"	1.6231635832	"1.00 – 2.00"	2050.68	7	2.76	354	25	"USA"	1950	1
"c2f08e76-20cd-11e9-8054-dc241e2d861b"	"Monopole"	"Hoogstraat, hoek Appelmarkt"	"Netherlands"	"#e791ce"	"Rotterdam"	"Schiedam"	"rotterdam"	"dutch"	7	"Hoogstraat, hoek Appelmarkt"	"6dd9e910-20c7-11e9-8054-dc241e2d861b"		51.91588	4.39774	"51.91588, 4.39774"	1938	1968	"51.91588, 4.39774"	"Commercial"	"301 – 600"	"Minor"	"District"	"Cinema"	0.3370707336	"0.20 – 0.50"	567.8	4	1.67	246	9	"USA"	1950	
